,Intercept,Slope,R.squared,slope.std
AMN,0.0938350136688325,0.489971288691092,0.5,0.258344276749669
AMY2A,0.0370920397301807,0.930844509125125,0.9,0.13823781946284
AMY2B,-0.0262962087842995,0.893189876915956,0.8,0.206503300337605
ANG,-0.0429270982650528,1.13084663343145,0.9,0.180134502331823
ANGPT2,0.110584506774434,0.814729548104278,0.9,0.104576824501789
ANGPTL1,0.0907330610818432,0.907803039022362,0.8,0.192881663762532
ANGPTL2,0.540674301652387,0.406597942028553,0.5,0.212306895911416
ANGPTL4,0.0796110927616885,0.914993124988445,0.9,0.14931153622122
ANGPTL7,0.0666346496697485,0.879834623236667,0.9,0.168314131993847
ANPEP,-0.0446983229093717,0.966891765620668,0.7,0.293206037731397
ANXA10,-0.00660440501073501,0.944038154526133,0.8,0.197054318590321
AOC3,0.176109326232102,0.770696032324326,0.7,0.256690629368439
APLP1,0.768025610057975,0.716904237200928,0.8,0.159628830502433
APOH,0.106704867082152,0.712738698998613,0.6,0.294603613825409
APOM,0.0110628214018494,0.937531943494136,0.8,0.22191822056727
AREG,-0.0371266326017465,1.11022698299643,0.7,0.382336334501888
ARNT,-0.245968200817516,0.856762363729182,0.6,0.320025102205069
ART3,-0.0575364466682081,0.922715628439329,0.8,0.207286335057552
ASAH2,0.013037803599551,0.88641250759978,0.9,0.115334287408836
ASGR1,0.0919003972399617,0.835457811353948,0.8,0.230210883342915
AXL,0.0457803374999822,0.983230414787202,0.7,0.278621417004582
B4GALT1,0.0214477415610603,0.962754767191708,0.8,0.233291661884247
B4GAT1,-0.015977827990741,1.02540062837715,0.8,0.234875421973852
BAG3,-0.173035572337786,0.790220180042164,0.7,0.222077695629705
BAIAP2,-0.146700856922773,0.966357157275135,0.8,0.230396331280318
BAMBI,0.348792838428486,0.582599094206713,0.6,0.243942729977335
BCAM,0.189257641057735,0.795540694743778,0.7,0.263089381105867
BCAN,0.113488955329221,0.967273182100427,0.9,0.169676179443015
BLMH,0.216779459899112,0.7516986987014,0.6,0.292417171262088
BOC,0.158808893965772,0.842540931016481,0.7,0.27206876317024
BPIFB1,0.0573785686610266,0.94231604106018,0.9,0.145872416310685
BSG,0.156949121648898,0.726317427296982,0.6,0.277728728677259
BST1,0.0307044460190728,0.789769045611637,0.7,0.263442330055201
BST2,-0.109624901493261,1.06132974468921,0.9,0.147012745840066
C19orf12,-0.533705587782463,0.577741693055758,0.5,0.302955534885891
C1QA,0.0243173727944988,0.760006458573191,0.8,0.19750957671805
C2,0.0585855389845534,0.947808698168043,0.6,0.404232326995853
C4BPB,-0.00395657707557466,1.05202553643906,0.9,0.212765573235461
CA14,-0.0608546484170609,0.949191272169922,0.9,0.166468619099828
CA4,0.0428875959812352,1.01890220921379,0.5,0.457906263953971
CA5A,-0.00156384291039241,1.03074868689965,1,0.0958557456982172
CA6,-0.0577503145815552,0.901921450239899,0.9,0.112598145331893
CA9,-0.0430999807206952,1.04971163627964,0.9,0.161641824972971
CALB1,-0.103782508344259,1.07364370530134,0.8,0.294787181862708
CALB2,0.233377158412088,0.787615416752803,0.5,0.373709993754533
CALCA,-0.0560095263929225,0.993818565735142,1,0.0964638890202939
CBLIF,-0.0174590146813969,0.951380025469825,0.9,0.110630849171885
CBLN4,0.0832041960104294,0.862052997425682,1,0.0884625928934017
CCDC80,0.589331082336768,0.606337553546685,0.7,0.196542623237425
CCL13,0.195487929112655,0.930361206951403,0.5,0.412150278245864
CCL14,0.692572212853873,0.746883950646336,0.7,0.25916709980394
CCL15,-0.0335217966581632,0.993415805772743,0.9,0.118921805558047
CCL16,0.165295083215227,0.823008077481035,0.8,0.17814422250112
CCL17,0.168875215680266,0.922796432878205,0.7,0.325024481206113
CCL18,-0.0186996354303466,1.04977673314614,0.9,0.16144817961509
CCL19,-0.0939238594195293,1.00710335835673,0.9,0.16995108601516
CCL2,0.318062651439814,0.695301854010388,0.7,0.246460516787479
CCL20,-0.0251513946602107,1.02348652969172,1,0.100069464218954
CCL21,0.628678656454764,0.597355285572845,0.8,0.130311537237704
CCL22,0.430338775849826,0.877119255502769,0.8,0.181290432779342
CCL23,0.00227830021623593,1.003443494301,0.9,0.151855083922884
CCL24,0.0760011104055328,0.987063475458836,0.9,0.186722046577502
CCL25,0.0159652581503657,1.02171181482994,0.9,0.184052474251707
CCL26,-1.33820121999828,1.20767517458382,0.5,0.642229037734347
CCL27,0.25832016859888,0.932839600881185,0.7,0.297093138693502
CCL3,0.400409351828862,0.783638744276082,0.8,0.166469364322783
CCL4,0.423236655856037,0.655842025264334,0.7,0.224035367358111
CCL7,0.0296782149516317,0.990906237324584,0.9,0.131688918723373
CCL8,-0.75611144601521,0.801349776313459,0.8,0.224121172824322
CCN3,0.0516645565560544,0.937419047657241,1,0.0817239040379388
CCN5,-0.132370010148061,0.892763426836148,0.8,0.186996145483606
CD109,0.164726494280366,0.81973881201394,0.8,0.187162653099196
CD14,0.686816703888163,0.716916828853869,0.6,0.270374673141929
CD160,0.0503904052581658,0.800992429643538,0.9,0.122261619466787
CD163,0.0315775583220694,0.988551187095997,0.9,0.148268635407851
CD177,-0.0687128654900887,1.04139426623727,0.9,0.140397599717847
CD1C,0.136975445815471,0.751796576055793,0.9,0.126875307347962
CD200R1,0.243672935112135,0.679322682706829,0.7,0.199014298499035
CD207,0.0113569455006307,0.747691204945324,0.8,0.199256200407552
CD209,0.0272363448528168,1.00872878459339,0.9,0.195302668042616
CD22,0.086914964364428,0.897058226502511,0.9,0.121796754600051
CD27,-0.0343361231823455,0.965844304772188,0.8,0.242660921440974
CD276,0.0119134909083425,0.830190055832958,0.8,0.190169734491736
CD28,0.232156739186564,0.854278921920261,0.8,0.183893479052476
CD300C,0.206074262824808,0.854614333879989,0.8,0.179822416904858
CD300E,0.0362405842538235,0.85047495465507,0.9,0.145858218771105
CD300LF,0.134004196516883,0.765241735567572,0.9,0.112103916324672
CD300LG,-0.0719545499881449,0.973562933633825,0.8,0.210664895628573
CD302,0.165537751651898,0.702603391408302,0.6,0.287366004878837
CD33,0.0264467917723964,0.934824165556669,0.9,0.108139492669957
CD34,0.0760967219845297,0.617101946901691,0.7,0.210088224242622
CD48,0.0824838415523944,0.827281699535637,0.8,0.21863185636066
CD59,0.0312953802646871,0.839760879336933,0.6,0.299673505536495
CD6,0.0672754264565723,0.733295629979632,0.5,0.323531744857145
CD70,-0.00385534232829983,0.922336247865067,0.8,0.226076730627976
CD79B,0.102573554236065,0.877460458350077,0.9,0.0977764293337729
CD83,0.21416890960492,0.661520142178196,0.7,0.230375591326508
CD8A,0.609122949427411,0.711607327756064,0.8,0.18262603787411
CD93,0.16309486689422,0.879265680266598,0.8,0.231589416244403
CD99,0.143819635131505,0.779669410983045,0.5,0.39082951880903
CDCP1,0.0642378611139019,0.910082062988577,1,0.0880067445203471
CDH1,0.0327561254027741,0.979330279255405,0.6,0.390067292886737
CDH15,0.0779622695395581,0.876731597096719,0.9,0.110535571774542
CDH17,0.321518311985307,0.770954740600133,0.8,0.181496540623698
CDH2,-0.0079459178850963,0.960188213372498,0.7,0.283689352710048
CDH3,0.18587975720131,0.851849423427111,0.8,0.219906973720929
CDH5,0.274245477199552,0.76842157163641,0.8,0.175655114188043
CDH6,0.103981029938648,0.911619862437294,0.7,0.263795702267038
CDHR2,-0.129215331206221,0.987471743290094,0.9,0.122167641382445
CDHR5,-0.0487103809656393,0.94833242005985,0.9,0.186561492853322
CDON,0.131215357354195,0.834840126813958,0.9,0.160232261494589
CDSN,-0.216153229382868,1.50685778479282,0.6,0.58494895411366
CEACAM1,-0.138869777711515,1.14963562710835,0.8,0.259228139917928
CEACAM21,0.0599701234734106,0.862350145892443,0.8,0.205903328582667
CELA3A,0.10288314330526,0.932630133572354,0.9,0.167764977324252
CES1,-0.0365298341439024,1.05250294880203,1,0.088167608354474
CES2,-0.0794738745486871,0.969220889465807,0.7,0.285368167571763
CES3,-0.341142429603337,0.681331151219512,0.6,0.288432174252886
CFC1,0.373611951580728,0.723963815131936,0.6,0.291827867065473
CGA,-0.0123488248414327,0.972978426258314,0.9,0.148276701568314
CGREF1,0.00722927338521633,0.982373577735948,0.9,0.168314505859425
CHGB,0.0823798076000034,0.928147730456538,0.9,0.177043831994607
CHI3L1,0.275798374149354,0.7809740598525,0.8,0.207179103429471
CHIT1,-0.0422934162660551,0.896924589002512,0.9,0.101983034568715
CHL1,0.126666574747783,0.786806013095558,0.8,0.170276478403249
CHRDL1,0.430833920763424,0.692463115580054,0.6,0.301647133703401
CHRDL2,0.0445173771258252,0.999463874973401,0.8,0.207170203890469
CLEC10A,-0.212201189832494,0.761697613645393,0.6,0.305903568976877
CLEC14A,0.197861364676162,0.728182566781511,0.7,0.218786555956451
CLEC1A,0.505258572626099,0.628067294303513,0.5,0.308254335169516
CLEC4C,0.0288400071181643,0.885591702532818,0.9,0.175396538461031
